tick,scent_id,energy,x,"y,"
3026,11,630.6999999999766,95,15,
3026,12,523.899999999989,5,15,
3051,12,497.99999999998886,5,15,
3051,11,618.9999999999757,95,15,
3076,11,645.5999999999747,95,15,
3076,12,518.3999999999885,5,15,
3101,12,541.6999999999875,5,15,
3101,11,637.4999999999736,95,15,
3126,11,623.7999999999727,95,15,
3126,12,546.2999999999865,5,15,
3151,12,560.0999999999858,5,15,
3151,11,603.6999999999716,95,15,
3176,11,591.9999999999707,95,15,
3176,12,559.3999999999849,5,15,
3201,12,553.099999999984,5,15,
3201,11,554.2999999999697,95,15,
3226,11,550.9999999999688,95,15,
3226,12,531.399999999983,5,15,
3251,12,519.3999999999821,5,15,
3251,11,524.699999999968,95,15,
3276,11,518.0999999999672,95,15,
3276,12,515.7999999999815,5,15,
3301,12,515.2999999999811,5,15,
3301,11,499.09999999996705,95,15,
3326,11,488.5999999999672,95,15,
3326,12,499.29999999998097,5,15,
3351,12,498.39999999998116,5,15,
3351,11,479.6999999999674,95,15,
3376,12,495.5999999999813,5,15,
3376,11,505.4999999999676,95,15,
3401,11,506.2999999999671,95,15,
3401,12,481.29999999998154,5,15,
3426,11,502.0999999999673,95,15,
3426,12,468.0999999999817,5,15,
3451,11,491.4999999999675,95,15,
3451,12,449.5999999999819,5,15,
3476,11,481.29999999996767,95,15,
3476,12,429.6999999999821,5,15,
3501,12,395.89999999998224,5,15,
3501,11,452.2999999999679,95,15,
3526,11,481.3999999999681,95,15,
3526,12,370.0999999999824,5,15,
3551,12,356.99999999998255,5,15,
3551,11,497.7999999999683,95,15,
3576,12,372.2999999999827,5,15,
3576,11,481.7999999999685,95,15,
3601,11,512.4999999999686,95,15,
3601,12,367.79999999998284,5,15,
3626,12,363.699999999983,5,15,
3626,11,538.6999999999675,95,15,
3651,11,591.6999999999666,95,15,
3651,12,333.89999999998315,5,15,
3676,11,571.0999999999658,95,15,
3676,12,319.1999999999833,5,15,
3701,12,297.0999999999834,5,15,
3701,11,537.3999999999648,95,15,
3726,12,272.39999999998355,5,15,
3726,11,501.39999999996434,95,15,
3751,11,476.2999999999645,95,15,
3751,12,237.89999999998372,5,15,
3776,12,248.9999999999838,5,15,
3776,11,425.09999999996467,95,15,
3801,11,372.19999999996486,95,15,
3801,12,227.9999999999839,5,15,
3826,12,221.399999999984,5,15,
3826,11,347.799999999965,95,15,
3851,11,352.7999999999651,95,15,
3851,12,200.0999999999841,5,15,
3876,11,357.09999999996523,95,15,
3876,12,185.59999999998416,5,15,
3901,11,374.2999999999654,95,15,
3901,12,171.09999999998422,5,15,
3926,12,155.99999999998425,5,15,
3926,11,379.19999999996554,95,15,
3951,12,122.09999999998432,5,15,
3951,11,399.7999999999657,95,15,
3976,11,414.99999999996584,95,15,
3976,12,97.99999999998431,5,15,
4001,11,423.799999999966,95,15,
4001,12,67.4999999999843,5,15,
4026,12,50.09999999998429,5,15,
4051,12,43.99999999998428,5,15,
4076,12,57.29999999998428,5,15,
4101,12,68.89999999998427,5,15,
4126,12,70.49999999998427,5,15,
4151,12,81.79999999998427,5,15,
4176,12,74.59999999998425,5,15,
4201,12,68.79999999998424,5,15,
4226,12,67.39999999998423,5,15,
4251,12,68.59999999998422,5,15,
