tick,scent_id,energy,x,y,
1776,8,334.2999999999805,57,58,
1776,0,677.5999999999196,71,48,
1776,7,699.4999999999347,98,96,
1776,4,334.39999999996377,61,54,
1801,8,345.39999999998065,57,58,
1801,7,698.4999999999336,98,96,
1801,4,340.99999999996385,61,54,
1801,0,675.5999999999185,71,48,
1801,1,1241.599999999918,97,48,
1801,11,676.4999999999816,68,44,
1826,0,679.5999999999174,71,48,
1826,1,1329.099999999917,97,48,
1826,11,680.4999999999804,68,44,
1826,4,335.399999999964,61,54,
1826,7,703.9999999999325,98,96,
1826,8,337.0999999999808,57,58,
1851,8,327.7999999999809,57,58,
1851,1,1393.0999999999158,97,48,
1851,4,328.6999999999641,61,54,
1851,11,687.4999999999793,68,44,
1851,0,687.2999999999163,71,48,
1876,1,972.5999999999146,97,48,
1876,12,918.899999999999,2,43,
1876,11,697.4999999999782,68,44,
1876,0,697.2999999999151,71,48,
1876,8,315.09999999998104,57,58,
1876,4,315.59999999996427,61,54,
1901,11,707.499999999977,68,44,
1901,12,902.3999999999978,2,43,
1901,0,701.299999999914,71,48,
1901,4,299.3999999999644,61,54,
1901,1,1089.0999999999135,97,48,
1926,11,686.4999999999759,68,44,
1926,0,687.2999999999129,71,48,
1926,12,962.8999999999967,2,43,
1926,1,1125.5999999999124,97,48,
1926,4,293.99999999996453,61,54,
1951,0,667.2999999999117,71,48,
1951,11,666.5999999999749,68,44,
1951,4,285.59999999996467,61,54,
1951,12,1020.3999999999955,2,43,
1976,4,300.29999999996477,61,54,
1976,11,635.0999999999738,68,44,
1976,12,1053.8999999999944,2,43,
1976,0,639.5999999999108,71,48,
2001,12,1102.3999999999933,2,43,
2001,0,605.8999999999098,71,48,
2001,11,605.4999999999727,68,44,
2001,4,316.0999999999649,61,54,
2026,11,580.7999999999718,68,44,
2026,0,579.8999999999089,71,48,
2026,12,1127.8999999999921,2,43,
2026,4,313.69999999996503,61,54,
2051,12,1153.399999999991,2,43,
2051,4,335.69999999996514,61,54,
2051,0,574.099999999908,71,48,
2051,11,571.2999999999709,68,44,
2076,11,557.7999999999699,68,44,
2076,0,556.8999999999071,71,48,
2076,12,1208.8999999999899,2,43,
2101,11,541.9999999999691,68,44,
2101,12,1263.3999999999887,2,43,
2101,0,542.3999999999062,71,48,
2126,11,558.6999999999682,68,44,
2126,12,1317.8999999999876,2,43,
2126,0,573.3999999999053,71,48,
2151,11,586.2999999999672,68,44,
2151,13,1000,92,46,
2151,0,586.0999999999044,71,48,
2151,12,899.3999999999864,2,43,
2176,13,917.4999999999989,92,46,
2176,11,580.6999999999662,68,44,
2176,12,967.8999999999853,2,43,
2176,0,580.4999999999034,71,48,
2201,0,576.7999999999024,71,48,
2201,12,1130.3999999999842,2,43,
2201,11,576.9999999999652,68,44,
2201,13,889.9999999999977,92,46,
2226,12,1235.899999999983,2,43,
